Qnumber,alternative,x_pos,y_pos,key
1,a,26,26,14066
1,b,52,26,14092
1,c,77,26,14117
1,d,103,26,14143
1,e,129,26,14169
2,a,26,51,27566
2,b,52,51,27592
2,c,77,51,27617
2,d,103,51,27643
2,e,129,51,27669
3,a,26,77,41606
3,b,52,77,41632
3,c,77,77,41657
3,d,103,77,41683
3,e,129,77,41709
4,a,26,103,55646
4,b,52,103,55672
4,c,77,103,55697
4,d,103,103,55723
4,e,129,103,55749
5,a,26,129,69686
5,b,52,129,69712
5,c,77,129,69737
5,d,103,129,69763
5,e,129,129,69789
6,a,26,154,83186
6,b,52,154,83212
6,c,77,154,83237
6,d,103,154,83263
6,e,129,154,83289
7,a,26,180,97226
7,b,52,180,97252
7,c,77,180,97277
7,d,103,180,97303
7,e,129,180,97329
8,a,26,206,111266
8,b,52,206,111292
8,c,77,206,111317
8,d,103,206,111343
8,e,129,206,111369
9,a,26,231,124766
9,b,52,231,124792
9,c,77,231,124817
9,d,103,231,124843
9,e,129,231,124869
10,a,26,257,138806
10,b,52,257,138832
10,c,77,257,138857
10,d,103,257,138883
10,e,129,257,138909
11,a,26,283,152846
11,b,52,283,152872
11,c,77,283,152897
11,d,103,283,152923
11,e,129,283,152949
12,a,26,309,166886
12,b,52,309,166912
12,c,77,309,166937
12,d,103,309,166963
12,e,129,309,166989
13,a,26,334,180386
13,b,52,334,180412
13,c,77,334,180437
13,d,103,334,180463
13,e,129,334,180489
14,a,26,360,194426
14,b,52,360,194452
14,c,77,360,194477
14,d,103,360,194503
14,e,129,360,194529
15,a,26,386,208466
15,b,52,386,208492
15,c,77,386,208517
15,d,103,386,208543
15,e,129,386,208569
16,a,26,411,221966
16,b,52,411,221992
16,c,77,411,222017
16,d,103,411,222043
16,e,129,411,222069
17,a,26,437,236006
17,b,52,437,236032
17,c,77,437,236057
17,d,103,437,236083
17,e,129,437,236109
18,a,26,463,250046
18,b,52,463,250072
18,c,77,463,250097
18,d,103,463,250123
18,e,129,463,250149
19,a,26,489,264086
19,b,52,489,264112
19,c,77,489,264137
19,d,103,489,264163
19,e,129,489,264189
20,a,26,514,277586
20,b,52,514,277612
20,c,77,514,277637
20,d,103,514,277663
20,e,129,514,277689
