Qnumber,alternative,x_pos,y_pos,key,STATUS
1,a,26,26,14066,WRONG
2,a,26,51,27566,WRONG
3,a,26,77,41606,WRONG
4,a,26,103,55646,CORRECT (row 69)
5,a,26,129,69686,WRONG
6,a,26,154,83186,WRONG
7,a,26,180,97226,WRONG
8,a,26,206,111266,WRONG
9,a,26,231,124766,CORRECT (row 162)
10,a,26,257,138806,WRONG
11,a,26,283,152846,CORRECT (row 194)
12,a,26,309,166886,WRONG
13,a,26,334,180386,WRONG
14,a,26,360,194426,WRONG
15,a,26,386,208466,WRONG
16,a,26,411,221966,WRONG
17,a,26,437,236006,CORRECT (row 316)
18,a,26,463,250046,WRONG
19,a,26,489,264086,WRONG
20,a,26,514,277586,CORRECT (row 378)
