Qnumber,alternative,x_pos,y_pos,key
1,a,52.1877822876,26.198348999,14199.2962418
1,b,52.1917648315,51.8948326111,28075.4013748
1,c,77.9064178467,77.6306304932,41998.4468842
1,d,26.4664535522,103.351150513,55836.0877304
1,e,129.36857605,129.052276611,69817.5979462
2,a,77.8969497681,154.763122559,83649.9831314
2,b,103.631248474,180.507675171,97577.7758408
2,c,129.364151001,206.193771362,111474.000687
2,d,26.4581489563,231.913330078,125259.656391
2,e,52.1917610168,257.626983643,139170.762928
3,a,26.4637718201,283.353515625,153037.362209
3,b,129.375213623,309.053375244,167018.197845
3,c,103.630645752,334.776885986,180883.149078
3,d,103.635231018,360.500549316,194773.931862
3,e,52.1758842468,386.203308105,208601.962261
4,a,77.9086151123,411.922454834,222516.034225
4,b,26.4613285065,437.633544922,236348.575586
4,c,103.632598877,463.360046387,250318.057648
4,d,52.1868362427,489.052947998,264140.778755
4,e,26.4632873535,514.776611328,278005.833405
