Qnumber,alternative,x_pos,y_pos,key,STATUS
1,b,52,26,14092,CORRECT (row 3)
2,b,52,51,27592,CORRECT (row 5)
3,c,77,77,41657,CORRECT (row 8)
4,a,26,103,55646,CORRECT (row 12)
5,e,129,129,69789,CORRECT (row 17)
6,c,77,154,83237,CORRECT (row 23)
7,d,103,180,97303,CORRECT (row 30)
8,e,129,206,111369,CORRECT (row 38)
9,a,26,231,124766,CORRECT (row 47)
10,b,52,257,138832,CORRECT (row 57)
11,a,26,283,152846,CORRECT (row 68)
12,e,129,309,166989,CORRECT (row 80)
13,e,129,334,180489,WRONG
14,e,129,360,194529,WRONG
15,e,129,386,208569,WRONG
16,e,129,411,222069,WRONG
17,e,129,437,236109,WRONG
18,e,129,463,250149,WRONG
19,e,129,489,264189,WRONG
20,e,129,514,277689,WRONG
